NAME  ,VALUE    ,PACKAGE                    ,DESCRIPTION   ,DEVICE              ,MF      ,Digikey PN           ,MPN      OC_FARNELL  OC_NEWARK`
C1    ,100n     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C2    ,100n     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C3    ,100n     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C4    ,100n     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C5    ,100n     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C7    ,100n     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C8    ,100n     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C10   ,100nF    ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C11   ,100n     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C12   ,100n     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C28   ,100nF    ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C30   ,100nF    ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C31   ,100nF    ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C33   ,100n     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C35   ,100nF    ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C36   ,100n     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C29   ,100nF    ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C38   ,100nF    ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3369-1-ND        , 
C34   ,1u       ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,1276-1019-1-ND       ,  
C37   ,22nF     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,1276-2000-1-ND       ,  
C6    ,22nF     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,1276-2000-1-ND       ,  
C32   ,22nF     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,1276-2000-1-ND       ,  
C9    ,18nF     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-4081-1-ND        , 
C42   ,330pF    ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,1276-2272-1-ND       ,  
C43   ,330pF    ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,1276-2272-1-ND       ,  
C41   ,1u       ,C0805                      ,"CAPACITOR    , European symbol"   ,C0805   ,1276-6471-1-ND       ,  
R1    ,10k      ,R0603                      ,"RESISTOR     , American symbol"   ,R0603   ,311-10KGRCT-ND       ,  
R2    ,2k2      ,R0603                      ,"RESISTOR     , American symbol"   ,R0603   ,311-2.20KHRCT-ND     ,    
R4    ,274R     ,R0603                      ,"RESISTOR     , American symbol"   ,R0603   ,311-274HRCT-ND       ,  
R3    ,1k       ,TRIMMER_3362P              ,Trimmer resist,-3362P              ,        ,3362P-1-102RLFCT-ND  ,       
U1    ,AD8331   ,QSOP20                     ,              ,                    ,        ,AD8331ARQZ-R7CT-ND   ,      
U2    ,BGA2801  ,SOTT323-6                  ,              ,                    ,        ,568-6208-1-ND        , 
X2    ,         ,SMA 50 Ohm End Launch Jack ,              ,                    ,        ,WM5534-ND            ,
X1    ,         ,SMA 50 Ohm End Launch Jack ,              ,                    ,        ,WM5534-ND            ,
X3    ,         ,SMA 50 Ohm End Launch Jack ,              ,                    ,        ,WM5534-ND            ,
C39   ,DNI      ,SMC_C                      ,"POLARIZED CAP, American symbol"   ,SMCC    ,                     , 
C40   ,DNI      ,C1206                      ,"CAPACITOR    , European symbol"   ,C1206   ,                     , 
C13   ,270pF    ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,490-10686-1-ND       , 
C14   ,1.3nF    ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,490-1624-1-ND        , 
C15   ,3.6nF    ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,490-6386-1-ND        , 
C17   ,51pF     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,311-3358-1-ND        , 
C16   ,24pF     ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,490-12537-1-ND       , 
L6    ,360nH    ,0603                       ,Inductors     ,                    ,0603    ,490-15791-1-ND       , 
L7    ,82nH     ,0603                       ,Inductors     ,                    ,0603    ,490-6848-1-ND        , 
L8    ,27nH     ,0603                       ,Inductors     ,                    ,0603    ,490-2628-1-ND        , 
L2    ,2uH      ,0603                       ,Inductors     ,                    ,0603    ,490-12197-1-ND       , 
L5    ,4.3uH    ,0603                       ,Inductors     ,                    ,0603    ,535-11602-1-ND       , 
C18   ,         ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,                     , 
C19   ,         ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,                     , 
C20   ,         ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,                     , 
C21   ,         ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,                     , 
C22   ,         ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,                     , 
C23   ,         ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,                     , 
C24   ,         ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,                     , 
C25   ,         ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,                     , 
C26   ,         ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,                     , 
C27   ,         ,C0603                      ,"CAPACITOR    , European symbol"   ,C0603   ,                     , 
L1    ,         ,L2012C                     ,"INDUCTOR     , American symbol"   ,L2012C  ,                     , 
L3    ,         ,L2012C                     ,"INDUCTOR     , American symbol"   ,L2012C  ,                     , 
L4    ,         ,L2012C                     ,"INDUCTOR     , American symbol"   ,L2012C  ,                     , 
L9    ,         ,0603                       ,Inductors     ,                    ,0603    ,                     , 
L10   ,         ,0603                       ,Inductors     ,                    ,0603    ,                     , 
L11   ,         ,0603                       ,Inductors     ,                    ,0603    ,                     , 
L12   ,         ,0603                       ,Inductors     ,                    ,0603    ,                     , 
L13   ,         ,0603                       ,Inductors     ,                    ,0603    ,                     , 
L14   ,         ,0603                       ,Inductors     ,                    ,0603    ,                     , 
L15   ,         ,0603                       ,Inductors     ,                    ,0603    ,                     , 
L16   ,         ,0603                       ,Inductors     ,                    ,0603    ,                     , 
L17   ,         ,0603                       ,Inductors     ,                    ,0603    ,                     , 
L18   ,         ,0603                       ,Inductors     ,                    ,0603    ,                     , 
JP1   ,2X04     ,PIN HEADER                 ,              ,                    ,        ,609-3078-ND          , 
JP2   ,2X03     ,PIN HEADER                 ,              ,                    ,        ,                     , 
JP3   ,2X03     ,PIN HEADER                 ,              ,                    ,        ,                     , 
